Hypothesis_ID,Category,Metric_Name,Input_Pre,Input_Post,Equation,Benchmark,Benchmark_Min,Benchmark_Max,Direction,Interpretation,Meaning
H1.1,Sleep Propensity,Beta Power Ratio,Beta(%)_pre,Beta(%)_post,((Beta_post - Beta_pre) / Beta_pre) * 100,> -30%,-100,-30,decrease,Deep brain slows down,Reduction in beta indicates decreased cognitive activity
H1.2,Sleep Propensity,Theta Power Rise,Theta(%)_pre,Theta(%)_post,((Theta_post - Theta_pre) / Theta_pre) * 100,> +15%,15,100,increase,Gateway brain state to sleep,Increased theta indicates transition to sleep state
H1.3,Sleep Propensity,Theta/Beta Ratio,Theta(%)_pre & Beta(%)_pre,Theta(%)_post & Beta(%)_post,(Theta_post/Beta_post - Theta_pre/Beta_pre) / (Theta_pre/Beta_pre) * 100,> +25%,25,100,increase,Sleepy brain state,Higher ratio indicates drowsiness
H1.4,Sleep Propensity,Delta/Beta Ratio,Delta(%)_pre & Beta(%)_pre,Delta(%)_post & Beta(%)_post,(Delta_post/Beta_post - Delta_pre/Beta_pre) / (Delta_pre/Beta_pre) * 100,> +15%,15,100,increase,Heavy calm,Increased delta with reduced beta indicates deep relaxation
H1.5,Sleep Propensity,Delta/Alpha Ratio,Delta(%)_pre & Alpha(%)_pre,Delta(%)_post & Alpha(%)_post,(Delta_post/Alpha_post - Delta_pre/Alpha_pre) / (Delta_pre/Alpha_pre) * 100,> +15%,15,100,increase,Sleep pressure rising,Increased delta relative to alpha indicates building sleep need
H1.6,Sleep Propensity,Alpha/Beta Ratio,Alpha(%)_pre & Beta(%)_pre,Alpha(%)_post & Beta(%)_post,(Alpha_post/Beta_post - Alpha_pre/Beta_pre) / (Alpha_pre/Beta_pre) * 100,> +10%,10,100,increase,Calm,Increased alpha with reduced beta indicates relaxed alertness
H1.7,Sleep Propensity,(Theta+Alpha)/Beta Ratio,"Theta(%)_pre, Alpha(%)_pre & Beta(%)_pre","Theta(%)_post, Alpha(%)_post & Beta(%)_post",((Theta_post+Alpha_post)/Beta_post - (Theta_pre+Alpha_pre)/Beta_pre) / ((Theta_pre+Alpha_pre)/Beta_pre) * 100,> +30%,30,100,increase,Global disengagement from active thinking,High theta+alpha with low beta indicates deep mental rest
H2.1,Anxiety Reduction,HF Rise,hfPower_pre,hfPower_post,((hfPower_post - hfPower_pre) / hfPower_pre) * 100,+10% to +30%,10,30,increase,Vagus nerve activation,Increased HF power indicates parasympathetic activation
H2.2,Anxiety Reduction,RMSSD Rise,rmssd_pre,rmssd_post,((rmssd_post - rmssd_pre) / rmssd_pre) * 100,+10% to +30%,10,30,increase,Heartbeat-to-heartbeat changes,Higher RMSSD indicates better vagal tone
H2.3,Anxiety Reduction,LF/HF Decrease,lfHfRatio_pre,lfHfRatio_post,((lfHfRatio_post - lfHfRatio_pre) / lfHfRatio_pre) * 100,-40% to -20%,-40,-20,decrease,Less 'fight/flight',Lower LF/HF indicates reduced sympathetic dominance
H2.4,Anxiety Reduction,Heart Load Decrease,meanHR_pre,meanHR_post,meanHR_post - meanHR_pre,-8 to -3 bpm,-8,-3,decrease,Vagus tilts lower,Decreased heart rate indicates parasympathetic activation
H2.5,Anxiety Reduction,RSA Rise,pnn50_pre,pnn50_post,((pnn50_post - pnn50_pre) / pnn50_pre) * 100,+10% to +25%,10,25,increase,Non-linear variability of vagus activation,Increased RSA shows respiratory-cardiac coupling
H2.6,Anxiety Reduction,(Theta+Alpha)/Beta Ratio,"Theta(%)_pre, Alpha(%)_pre & Beta(%)_pre","Theta(%)_post, Alpha(%)_post & Beta(%)_post",((Theta_post+Alpha_post)/Beta_post - (Theta_pre+Alpha_pre)/Beta_pre) / ((Theta_pre+Alpha_pre)/Beta_pre) * 100,+10% to +25%,10,25,increase,Global disengagement from active thinking,Mental quieting associated with reduced anxiety
H2.7,Anxiety Reduction,SDNN,sdnn_pre,sdnn_post,((sdnn_post - sdnn_pre) / sdnn_pre) * 100,> 0%,0,100,increase,Overall heart rate variability,Higher SDNN indicates better autonomic balance
